step,loss_function,target_value,elapsed_time
0,6.00986e-01,5.37296e-01,0
20,1.55620e-01,5.30130e-01,3
40,1.48333e-01,5.23038e-01,6
60,1.47650e-01,5.16197e-01,9
80,1.41249e-01,5.09406e-01,13
100,1.39830e-01,5.02771e-01,16
120,1.31831e-01,4.96353e-01,19
140,1.25785e-01,4.90103e-01,22
160,1.24696e-01,4.83965e-01,25
180,1.20577e-01,4.77917e-01,28
200,1.18172e-01,4.72159e-01,32
220,1.16264e-01,4.66332e-01,34
240,1.10751e-01,4.60684e-01,37
260,1.02433e-01,4.55056e-01,40
280,1.06491e-01,4.49538e-01,43
300,9.93100e-02,4.44195e-01,46
320,1.00807e-01,4.38876e-01,49
340,9.73364e-02,4.33607e-01,52
360,9.15546e-02,4.28512e-01,56
380,8.98518e-02,4.23556e-01,59
400,8.83172e-02,4.18651e-01,62
420,8.31265e-02,4.13763e-01,65
440,8.53117e-02,4.08991e-01,68
460,8.51124e-02,4.04269e-01,71
480,8.16223e-02,3.99733e-01,74
500,7.99627e-02,3.95201e-01,77
520,7.21147e-02,3.90810e-01,80
540,7.29177e-02,3.86406e-01,83
560,7.41207e-02,3.82096e-01,86
580,6.99660e-02,3.77855e-01,89
600,6.82863e-02,3.73730e-01,92
620,6.67301e-02,3.69679e-01,95
640,6.54045e-02,3.65666e-01,98
660,6.31524e-02,3.61692e-01,101
680,6.14297e-02,3.57770e-01,105
700,5.92874e-02,3.53861e-01,108
720,5.74811e-02,3.50061e-01,111
740,6.13864e-02,3.46334e-01,114
760,5.22500e-02,3.42637e-01,117
780,5.40564e-02,3.38991e-01,120
800,5.63570e-02,3.35373e-01,123
820,5.33500e-02,3.31854e-01,126
840,5.01176e-02,3.28419e-01,129
860,4.91256e-02,3.25080e-01,133
880,4.73369e-02,3.21727e-01,136
900,4.88743e-02,3.18404e-01,139
920,4.65312e-02,3.15148e-01,142
940,4.89172e-02,3.11967e-01,145
960,4.45554e-02,3.08773e-01,148
980,4.30474e-02,3.05622e-01,151
1000,4.09225e-02,3.02544e-01,155
1020,4.22954e-02,2.99539e-01,157
1040,4.06109e-02,2.96514e-01,160
1060,4.08545e-02,2.93540e-01,163
1080,3.74077e-02,2.90631e-01,167
1100,3.74426e-02,2.87693e-01,169
1120,3.59534e-02,2.84831e-01,173
1140,3.70118e-02,2.82024e-01,176
1160,3.35129e-02,2.79267e-01,179
1180,3.64448e-02,2.76545e-01,182
1200,3.42095e-02,2.73852e-01,185
1220,3.26362e-02,2.71219e-01,189
1240,3.31785e-02,2.68608e-01,192
1260,3.01119e-02,2.66043e-01,195
1280,3.21193e-02,2.63535e-01,198
1300,2.93044e-02,2.61029e-01,201
1320,2.95349e-02,2.58590e-01,204
1340,3.04133e-02,2.56125e-01,207
1360,2.85097e-02,2.53678e-01,211
1380,2.85708e-02,2.51254e-01,214
1400,2.90216e-02,2.48894e-01,217
1420,2.73523e-02,2.46550e-01,220
1440,2.71584e-02,2.44283e-01,224
1460,2.93171e-02,2.42018e-01,228
1480,2.56075e-02,2.39831e-01,231
1500,2.67977e-02,2.37623e-01,234
1520,2.76799e-02,2.35464e-01,237
1540,2.35124e-02,2.33273e-01,240
1560,2.46899e-02,2.31138e-01,243
1580,2.36173e-02,2.29072e-01,246
1600,2.39053e-02,2.26972e-01,249
1620,2.19080e-02,2.24938e-01,252
1640,2.11163e-02,2.22914e-01,256
1660,2.23136e-02,2.20883e-01,259
1680,2.28176e-02,2.18949e-01,262
1700,2.12285e-02,2.17005e-01,266
1720,2.07397e-02,2.15071e-01,269
1740,2.12418e-02,2.13258e-01,272
1760,2.06180e-02,2.11362e-01,275
1780,2.17816e-02,2.09511e-01,278
1800,2.03163e-02,2.07658e-01,281
1820,1.94330e-02,2.05888e-01,284
1840,2.00928e-02,2.04153e-01,287
1860,1.90852e-02,2.02395e-01,291
1880,2.03538e-02,2.00633e-01,294
1900,1.93097e-02,1.98964e-01,297
