step,loss_function,target_value,elapsed_time
0,7.33501e+01,1.43410e+00,0
20,2.06890e+00,1.46127e+00,0
40,2.38556e+00,1.48776e+00,1
60,2.07447e+00,1.51288e+00,2
80,2.22990e+00,1.53709e+00,3
100,1.88536e+00,1.55902e+00,4
120,2.35285e+00,1.58148e+00,4
140,2.17316e+00,1.60428e+00,5
160,1.87455e+00,1.62363e+00,6
180,1.91502e+00,1.64392e+00,6
200,1.94216e+00,1.66340e+00,7
220,1.86736e+00,1.68084e+00,8
240,1.88426e+00,1.69873e+00,9
260,1.83904e+00,1.71692e+00,10
280,1.87594e+00,1.73333e+00,10
300,1.82921e+00,1.75091e+00,11
320,1.69828e+00,1.76672e+00,12
340,1.79375e+00,1.78444e+00,13
360,1.57571e+00,1.79986e+00,13
380,1.58191e+00,1.81338e+00,14
400,1.73819e+00,1.82671e+00,15
420,1.52996e+00,1.84161e+00,16
440,1.64169e+00,1.85493e+00,17
460,1.45011e+00,1.86791e+00,17
480,1.59714e+00,1.88113e+00,18
500,1.46175e+00,1.89411e+00,19
520,1.53911e+00,1.90454e+00,20
540,1.44209e+00,1.91419e+00,20
560,1.57676e+00,1.92654e+00,21
580,1.47280e+00,1.93844e+00,22
600,1.60827e+00,1.95073e+00,22
620,1.55062e+00,1.96029e+00,23
640,1.77119e+00,1.97179e+00,24
660,1.71758e+00,1.97928e+00,25
680,1.46724e+00,1.98944e+00,25
700,1.43332e+00,1.99836e+00,26
720,1.66490e+00,2.00900e+00,27
740,1.72320e+00,2.01850e+00,28
760,1.46163e+00,2.02862e+00,29
780,1.47583e+00,2.03773e+00,29
800,1.39859e+00,2.04613e+00,30
820,1.53315e+00,2.05332e+00,31
840,1.60245e+00,2.06271e+00,32
860,1.38781e+00,2.06948e+00,32
880,1.41946e+00,2.07672e+00,33
900,1.28187e+00,2.08467e+00,34
920,1.45747e+00,2.09015e+00,35
940,1.48153e+00,2.09806e+00,35
960,1.45617e+00,2.10227e+00,36
980,1.48254e+00,2.10869e+00,37
1000,1.51186e+00,2.11386e+00,38
1020,1.44801e+00,2.12010e+00,39
1040,1.52547e+00,2.12575e+00,40
1060,1.33891e+00,2.13280e+00,40
1080,1.35659e+00,2.14000e+00,41
1100,1.35172e+00,2.14569e+00,42
1120,1.49337e+00,2.15127e+00,43
1140,1.41236e+00,2.15616e+00,44
1160,1.26858e+00,2.16055e+00,44
1180,1.35113e+00,2.16279e+00,45
1200,1.24371e+00,2.16881e+00,46
1220,1.53160e+00,2.17190e+00,47
1240,1.16558e+00,2.17794e+00,47
1260,1.29661e+00,2.18147e+00,48
1280,1.23459e+00,2.18466e+00,49
1300,1.17383e+00,2.18703e+00,50
1320,1.26230e+00,2.18977e+00,51
1340,1.45735e+00,2.19143e+00,52
1360,1.26965e+00,2.19700e+00,52
1380,1.29471e+00,2.20188e+00,53
1400,1.37921e+00,2.20510e+00,54
1420,1.12798e+00,2.20877e+00,55
1440,1.24628e+00,2.21243e+00,55
1460,1.32392e+00,2.21501e+00,56
1480,1.17469e+00,2.21735e+00,57
1500,1.15492e+00,2.22049e+00,58
1520,1.35708e+00,2.22365e+00,59
1540,1.17632e+00,2.22713e+00,59
1560,1.19916e+00,2.23012e+00,60
1580,1.15408e+00,2.23221e+00,61
1600,1.14873e+00,2.23581e+00,62
1620,1.27251e+00,2.23690e+00,62
1640,1.18765e+00,2.23870e+00,63
1660,1.18227e+00,2.23946e+00,64
1680,1.13492e+00,2.23900e+00,65
1700,1.20440e+00,2.24256e+00,66
1720,1.24791e+00,2.24477e+00,66
1740,1.18862e+00,2.24579e+00,67
1760,1.30175e+00,2.24860e+00,68
1780,1.29574e+00,2.25180e+00,69
1800,1.26043e+00,2.25447e+00,69
1820,1.25422e+00,2.25428e+00,70
1840,1.23141e+00,2.25600e+00,71
1860,1.12096e+00,2.25577e+00,72
1880,1.30675e+00,2.25663e+00,73
1900,1.27196e+00,2.25786e+00,73
1920,1.19962e+00,2.25903e+00,74
1940,1.15103e+00,2.26025e+00,75
1960,1.26566e+00,2.26234e+00,76
1980,1.10452e+00,2.26253e+00,76
2000,1.02044e+00,2.26604e+00,77
2020,1.16784e+00,2.26770e+00,78
