step,loss_function,target_value,elapsed_time
0,1.09140e+03,-1.70714e-01,0
20,2.59250e+00,-1.88169e-01,1
40,2.49630e+00,-2.07029e-01,2
60,1.88479e+00,-2.24704e-01,3
80,2.58398e+00,-2.42327e-01,4
100,3.46895e+00,-2.63492e-01,5
120,2.82407e+00,-2.83057e-01,6
140,3.81875e+00,-3.03089e-01,7
160,2.20193e+00,-3.22630e-01,8
180,2.88743e+00,-3.44120e-01,9
200,2.34394e+00,-3.64274e-01,10
220,4.18898e+00,-3.85561e-01,11
240,2.10875e+00,-4.07047e-01,12
260,1.56938e+00,-4.28472e-01,13
280,2.11166e+00,-4.51502e-01,14
300,1.27853e+00,-4.75051e-01,15
320,3.25408e+00,-4.96925e-01,16
340,1.18177e+00,-5.17462e-01,17
360,6.93726e+00,-5.36566e-01,18
380,1.02328e+00,-5.57684e-01,19
400,1.45236e+00,-5.76452e-01,20
420,1.18618e+00,-5.95229e-01,21
440,9.61699e+00,-6.14311e-01,22
460,4.76917e+00,-6.33126e-01,23
480,2.11470e+00,-6.50436e-01,24
500,1.33574e+00,-6.68022e-01,25
520,1.41309e+00,-6.86507e-01,26
540,8.66220e-01,-7.03962e-01,27
560,6.27737e-01,-7.18274e-01,28
580,7.22728e-01,-7.30909e-01,29
600,5.86904e-01,-7.41775e-01,30
620,4.95874e-01,-7.52414e-01,32
640,5.84750e-01,-7.61859e-01,33
660,6.71529e-01,-7.70961e-01,34
680,7.54046e-01,-7.79067e-01,35
700,2.19024e+00,-7.86441e-01,36
720,6.64549e-01,-7.93426e-01,37
740,1.31410e+00,-7.96987e-01,38
760,1.25771e+00,-8.00132e-01,39
780,1.37090e+00,-8.02106e-01,40
800,1.57755e+00,-8.00266e-01,41
820,8.03854e-01,-8.02520e-01,42
840,3.51571e-01,-8.06899e-01,43
860,7.00352e-01,-8.14115e-01,44
880,6.00309e-01,-8.23833e-01,45
900,9.02217e-01,-8.31304e-01,46
920,5.35550e-01,-8.33454e-01,47
940,2.14338e+00,-8.40364e-01,48
960,1.79482e-01,-8.45971e-01,49
980,5.95929e-01,-8.49511e-01,50
1000,3.91559e-01,-8.54922e-01,51
1020,7.27452e-01,-8.54892e-01,52
1040,7.21578e-01,-8.57203e-01,53
1060,2.97234e-01,-8.56861e-01,54
1080,4.29503e-01,-8.55753e-01,55
1100,3.73112e-01,-8.58724e-01,56
1120,4.78345e-01,-8.65030e-01,57
1140,7.88407e-01,-8.70803e-01,58
1160,1.43658e+00,-8.74065e-01,59
1180,1.07492e+00,-8.75614e-01,60
1200,3.75685e-01,-8.79443e-01,61
1220,8.15861e-01,-8.84367e-01,62
1240,6.45684e-01,-8.83415e-01,63
1260,3.73762e+00,-8.80448e-01,64
1280,6.77797e-01,-8.78553e-01,65
1300,3.24980e-01,-8.78142e-01,66
1320,2.60019e-01,-8.77909e-01,67
1340,4.19669e-01,-8.74643e-01,68
1360,3.15179e-01,-8.74083e-01,70
1380,6.09052e-01,-8.78046e-01,71
1400,2.94621e-01,-8.83767e-01,72
1420,1.07832e+00,-8.84810e-01,73
1440,6.25135e-01,-8.89750e-01,74
1460,3.81625e-01,-8.89818e-01,75
1480,9.86805e-01,-8.88873e-01,76
1500,2.39623e-01,-8.95437e-01,77
1520,4.63431e-01,-8.98516e-01,78
1540,5.72834e-01,-9.00969e-01,79
1560,3.27066e-01,-9.09688e-01,80
1580,3.33752e-01,-9.14976e-01,81
1600,3.40227e-01,-9.17568e-01,82
1620,2.80216e-01,-9.16138e-01,83
1640,2.49047e-01,-9.15724e-01,84
1660,3.17500e-01,-9.13149e-01,85
1680,3.16602e-01,-9.10764e-01,86
1700,7.59811e-01,-9.07085e-01,87
1720,5.64613e-01,-9.04195e-01,88
1740,3.22322e-01,-9.04953e-01,89
1760,2.04929e-01,-9.09559e-01,90
1780,2.67260e-01,-9.11911e-01,91
1800,4.74811e-01,-9.13453e-01,92
1820,2.43299e-01,-9.18172e-01,93
1840,2.60524e-01,-9.24571e-01,94
1860,2.63861e-01,-9.28365e-01,95
1880,3.49557e-01,-9.30151e-01,96
1900,2.91236e-01,-9.28806e-01,97
1920,3.30264e-01,-9.29459e-01,98
1940,3.70006e-01,-9.31725e-01,99
1960,1.66782e-01,-9.29761e-01,100
1980,3.28516e-01,-9.28037e-01,101
2000,2.99810e-01,-9.26206e-01,102
2020,1.67840e-01,-9.19713e-01,104
2040,1.55346e-01,-9.17212e-01,105
2060,1.69767e-01,-9.11447e-01,106
2080,3.79117e-01,-9.09007e-01,107
2100,2.35964e-01,-9.07504e-01,108
2120,1.57205e-01,-9.07338e-01,109
2140,3.25717e-01,-9.07618e-01,110
2160,8.61234e-01,-9.04108e-01,111
2180,1.80186e-01,-9.00278e-01,112
2200,1.00111e-01,-8.92824e-01,113
2220,3.59191e-01,-8.90969e-01,114
2240,9.27295e-02,-8.90045e-01,115
2260,1.71976e-01,-8.89322e-01,116
2280,7.66020e-02,-8.88947e-01,117
2300,3.19532e-01,-8.87116e-01,118
2320,7.33045e-02,-8.83710e-01,119
2340,1.31777e-01,-8.81488e-01,120
2360,1.25487e-01,-8.80027e-01,121
2380,9.66303e-02,-8.76879e-01,122
2400,1.39565e-01,-8.74277e-01,123
2420,9.71466e-02,-8.71421e-01,124
2440,9.97735e-02,-8.69228e-01,125
2460,9.62089e-02,-8.66724e-01,126
2480,7.36792e-02,-8.66605e-01,127
